"Coupon ID","Coupon ID"
"Customer ID","Customer ID"
"Name","Name"
"Email","Email"
"Group","Group"
"Website","Website"
"Coupon Code","Coupon Code"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Print Coupon Code","Print Coupon Code"
"Coupon Code Management","Coupon Code Management"
"Add Special Offer","Add Special Offer"
"Commission for referral","Commission for referral"
"Give X points to Customers","Give X points to Customers"
"Give X points for every Y money spent","Give X points for every Y money spent"
"Give X points for every Y qty purchased","Give X points for every Y qty purchased"
"Value","Value"
"Points or Percent of Value referred","Points or Percent of Value referred"
"Stop processing further rules","Stop processing further rules"
"Yes","Yes"
"No","No"
"Discount for invited friends","Discount for invited friends"
"Discount type","Discount type"
"Fixed Amount","Fixed Amount"
"Percentage","Percentage"
"Discount value","Discount value"
"Apply To","Apply To"
"Conditions","Conditions"
"Use Default","Use Default"
"-- Please Select --","-- Please Select --"
"STORE VIEW","STORE VIEW"
"Description","Description"
"General Information","General Information"
"Title","Title"
"Special Offer description shown for Referrals ","Special Offer description shown for Referrals "
"Special Offer description shown for Referred Friends","Special Offer description shown for Referred Friends"
"Websites","Websites"
"NOT LOGGED IN","NOT LOGGED IN"
"Customer Groups","Customer Groups"
"Validate from","Validate from"
"From date","From date"
"Validate to","Validate to"
"To date","To date"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Priority","Priority"
"Special Offer Information","Special Offer Information"
"Actions","Actions"
"Save","Save"
"Delete","Delete"
"Save And Continue Edit","Save And Continue Edit"
"Edit Special Offer ","Edit Special Offer "
"ID","ID"
"Customer Group IDs","Customer Group IDs"
"Starting Date","Starting Date"
"Expired Date","Expired Date"
"InActive","InActive"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Special Offer Management","Special Offer Management"
"Insert policy variable...","Insert policy variable..."
"Taken back points for refunded order by invited friend","Taken back points for refunded order by invited friend"
"Taken back points for refunded order #%s by invited friend","Taken back points for refunded order #%s by invited friend"
"View Order","View Order"
"Earn points when refer friends","Earn points when refer friends"
"Offer Discount","Offer Discount"
"Friend Register Success","Friend Register Success"
"You cannot use this coupon anymore.","You cannot use this coupon anymore."
"Coupon code was canceled.","Coupon code was canceled."
"Coupon code ","Coupon code "
"No: ","No: "
"Notes: ","Notes: "
"Name: %s","Name: %s"
"Start at: %s","Start at: %s"
"Expire at: %s","Expire at: %s"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Order Attribute","Cart Order Attribute"
"Subtotal","Subtotal"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Default Landing Page","Default Landing Page"
"The page that Customers are redirected to when clicking on the referral link via Email, Facebook, Twitter, Google+. 
The number of uses per customer. 
Link to Referral Policy Page","The page that Customers are redirected to when clicking on the referral link via Email, Facebook, Twitter, Google+. 
The number of uses per customer. 
Link to Referral Policy Page"
"Fixed amount","Fixed amount"
"Link","Link"
"Coupon","Coupon"
"Both Link and Coupon","Both Link and Coupon"
"Special Offer Manager","Special Offer Manager"
"Special Offer","Special Offer"
"Manage Special Offer","Manage Special Offer"
"New offer","New offer"
"Offer Manager","Offer Manager"
"Offer News","Offer News"
"Item does not exist","Item does not exist"
"Special Offer was successfully saved","Special Offer was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"The product had been sent to your friends.","The product had been sent to your friends."
"Email had been sent to your friends.","Email had been sent to your friends."
"Special Referring Friends Offers","Special Referring Friends Offers"
"Manage Offers","Manage Offers"
"Manage Coupon Codes","Manage Coupon Codes"
"Allow Everything","Allow Everything"
"Reward Points","Reward Points"
"Manage offers","Manage offers"
"Manage coupon code","Manage coupon code"
"Email refer friends","Email refer friends"
"Magestore Extension","Magestore Extension"
"Refer Friends Plugin Configuration","Refer Friends Plugin Configuration"
"Enable Refer Friends plugin ","Enable Refer Friends plugin "
"Default Configuration","Default Configuration"
"Use default configuration","Use default configuration"
"Number of earning points","Number of earning points"
"Landing page","Landing page"
"Discount type for invited friends","Discount type for invited friends"
"Discount value for invited friends","Discount value for invited friends"
"Number of points earned for an invited friend's registration","Number of points earned for an invited friend's registration"
"Referring Method(s)","Referring Method(s)"
"Select method(s)","Select method(s)"
"Coupon code pattern","Coupon code pattern"
"If yes, the referring method(s) will be applied for people who have already purchased on the site without using any coupon before. Each customer can get discount only ONE time.","If yes, the referring method(s) will be applied for people who have already purchased on the site without using any coupon before. Each customer can get discount only ONE time."
"Maximum number of orders to earn points after referring friends","Maximum number of orders to earn points after referring friends"
"Sharing via Email","Sharing via Email"
"Enable Sharing via Email ","Enable Sharing via Email "
"Default subject","Default subject"
"Link shared in email","Link shared in email"
"Default shared message","Default shared message"
"Insert Policy...","Insert Policy..."
"Enable captcha on email","Enable captcha on email"
"Number of emails sent per day","Number of emails sent per day"
"Yahoo Application ID","Yahoo Application ID"
