"Zip/Postal Code","Postadress"
"State/Province","Region"
"Billing address","Faktura adress"
"Already registered? Click here to login.","Redan kund? Klicka här för att logga in."
"Create an account for later use","Skapa ett konto för senare använding"
"Ship to the same address","Skicka till samma address"
"Shipping method","Leveranssätt"
"Payment method","Betalningsalternativ"
"Review your order","Granska din order"
"Product","Produkt"
"Qty","Antal"
"Subtotal","Subtotal"
"Subscribe to our newsletter","Registrera dig för vårt nyhetsbrev"
"Tax","Moms"
"Grand total","Total"
"Please choose a shipping method.","Välj leveransalternativ."
"Please choose a payment method.","Välj betalningsalternativ."
"Please enter valid details below.","Var vänlig full i giltig info nedan."
"Please check red fields below and try again.","Var vänlig granska röda fält och försök igen."
"Login","Logga in"
"Please login with your email address and password.","Logga in med din e-post oct lösenord."
"Email address","E-post"
"Password","Lösenord"
"Confirm password","Bekräfta lösenord"
"Forgotten your password?","Glömt ditt lösenord?"
"Close","Stäng"
"Login","Logga in"
"Please enter a username and password.","Välj ett användarnamn och lösenord."
"Invalid login or password.","Felaktig inloggning eller lösenord."
"Enter your email below and we'll send you a new password by email.","Fyll i din e-post sedan så skickar vi ett mail med nytt lösenord."
"Send password","Skicka lösenord"
"Return to login","Fortsätt till inloggning"
"Please enter a valid email address","Var vänlig full i en giltig e-postadress"
"Please enter a registered email address.","Var vänlig full i en registrerad e-postadress."
"Invalid email address.","Ogiltig e-postadress."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","E-postadress redan registrerad. Vänligen <a href=""#"" onclick=""login_popup.show(); gå tillbaka false;"">login now</a> eller använd en annan e-postadress."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Jag accepterar <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">köpvillkoren</a>"
"Comments","Kommentarer"
"You need to have products in your cart to checkout, and your cart is empty.","Du behöver ha producer i varukorgen för att kunna fortsätta till kassan, din varukorg är för närvarande tom."
"Back to homepage","Tillbaka till startsidan"
"Coupon code:","Rabattkod:"
"Apply Coupon","Fyll i kod"
"Please enter a valid coupon code.","Var vänlig fyll i en giltig kod."
"Cancel Coupon","Avbryt kupong"
"Shipping address","Leveransadress"
"How did you hear about us?","Hur hittade du oss?"
"Please choose","Var vänlig välj"
"Other","Annan"
"Please specify:","Var vänlig specificera:"
